Time,"ETH / Price, USD"
2019-01-01,139.154644360023
2019-01-02,154.426368790181
2019-01-03,147.06208679135
2019-01-04,153.442376972531
2019-01-05,154.301756867329
2019-01-06,155.940283167738
2019-01-07,150.346131794272
2019-01-08,149.052762711864
2019-01-09,149.62985622443
2019-01-10,126.929803915839
2019-01-11,124.970574225599
2019-01-12,124.329310637054
2019-01-13,115.339895382817
2019-01-14,128.323583869082
2019-01-15,120.32987609585
2019-01-16,122.420913793103
2019-01-17,122.647751607247
2019-01-18,119.485191408533
2019-01-19,123.487991233197
2019-01-20,117.515231735827
2019-01-21,115.918843074226
2019-01-22,117.97571975453
2019-01-23,116.313436586791
2019-01-24,116.326357977791
2019-01-25,114.967366452367
2019-01-26,115.040040035067
2019-01-27,111.82207685564
2019-01-28,105.667155756867
2019-01-29,104.227875803624
2019-01-30,107.66988603156
2019-01-31,105.739236119229
2019-02-01,106.634947691409
2019-02-02,108.571131794272
2019-02-03,106.021722676797
2019-02-04,106.026675628288
2019-02-05,106.135586499123
2019-02-06,103.394712156634
2019-02-07,103.299053769725
2019-02-08,117.501485096435
2019-02-09,118.103963471654
2019-02-10,123.577868205728
2019-02-11,119.726615429573
2019-02-12,120.828701928697
2019-02-13,120.690225891292
2019-02-14,119.68091320865
2019-02-15,120.360025423729
2019-02-16,121.804881063705
2019-02-17,132.80649006429
2019-02-18,144.415395967271
2019-02-19,143.137295733489
2019-02-20,147.192143483343
2019-02-21,143.601283459965
2019-02-22,147.063304208065
2019-02-23,157.5305
2019-02-24,135.383128872005
2019-02-25,137.924874926943
2019-02-26,135.725916130918
2019-02-27,133.996758912916
2019-02-28,134.754724137931
2019-03-01,134.864564582116
2019-03-02,132.19729748685
2019-03-03,129.645783752192
2019-03-04,125.120439509059
2019-03-05,135.707658971362
2019-03-06,137.182303915839
2019-03-07,136.142440677966
2019-03-08,132.441421098773
2019-03-09,136.296960841613
2019-03-10,135.225663062537
2019-03-11,132.080107539451
2019-03-12,132.696165108124
2019-03-13,131.13371244886
2019-03-14,131.309282583285
2019-03-15,135.602942723553
2019-03-16,140.628877556984
2019-03-17,138.143052308591
2019-03-18,137.063216247808
2019-03-19,137.928077147867
2019-03-20,138.685892460549
2019-03-21,134.586574225599
2019-03-22,135.893367913501
2019-03-23,136.475040619521
2019-03-24,135.419440385739
2019-03-25,133.093157802455
2019-03-26,133.164339859731
2019-03-27,139.21530742256
2019-03-28,137.336611922852
2019-03-29,142.368977498539
2019-03-30,142.107745178258
2019-03-31,141.27678515488
2019-04-01,141.295688778492
2019-04-02,165.466880479252
2019-04-03,160.239572764465
2019-04-04,157.865736879018
2019-04-05,165.938985388662
2019-04-06,165.408794856809
2019-04-07,174.463659555815
2019-04-08,180.779501168907
2019-04-09,175.957886616014
