Time,"DOGE / Price, USD"
2017-07-05,0.002699154579841
2017-07-06,0.00264114309548
2017-07-07,0.002394086674571
2017-07-08,0.002383771564854
2017-07-09,0.002282869957799
2017-07-10,0.001828376580848
2017-07-11,0.001750374953827
2017-07-12,0.001881239575566
2017-07-13,0.001784104998417
2017-07-14,0.001646358561085
2017-07-15,0.001481832402449
2017-07-16,0.001288850819313
2017-07-17,0.001524540289309
2017-07-18,0.001797004112669
2017-07-19,0.001652475618815
2017-07-20,0.0018918898084
2017-07-21,0.001905149348628
2017-07-22,0.002096930943877
2017-07-23,0.002009704371546
2017-07-24,0.001998302630043
2017-07-25,0.001748211738072
2017-07-26,0.001769261552198
2017-07-27,0.00182532030169
2017-07-28,0.001754784604867
2017-07-29,0.001742418539084
2017-07-30,0.001692094165243
2017-07-31,0.001674717950584
2017-08-01,0.001793158521044
2017-08-02,0.001743720586205
2017-08-03,0.001751900845708
2017-08-04,0.001787778184291
2017-08-05,0.002026574424389
2017-08-06,0.001938480350244
2017-08-07,0.001947231093708
2017-08-08,0.001967738480591
2017-08-09,0.001928053212336
2017-08-10,0.001920087869283
2017-08-11,0.001878003426074
2017-08-12,0.001840186330202
2017-08-13,0.001790310878919
2017-08-14,0.001742339890105
2017-08-15,0.001701645420456
2017-08-16,0.001732229194583
2017-08-17,0.001677617862015
2017-08-18,0.001642668088024
2017-08-19,0.001645912623172
2017-08-20,0.001689289889173
2017-08-21,0.001691765724402
2017-08-22,0.001691106817478
2017-08-23,0.001719481971528
2017-08-24,0.001796502966535
2017-08-25,0.001719641483299
2017-08-26,0.001753887742417
2017-08-27,0.001759135735382
2017-08-28,0.001801312940173
2017-08-29,0.001876829632723
2017-08-30,0.002110239488506
2017-08-31,0.002078086833891
2017-09-01,0.002508764362503
2017-09-02,0.002223824525722
2017-09-03,0.002189167072958
2017-09-04,0.001948202250104
2017-09-05,0.002014890627799
2017-09-06,0.002047331254508
2017-09-07,0.002011864620777
2017-09-08,0.001793422946937
2017-09-09,0.001714307586767
2017-09-10,0.001559932619087
2017-09-11,0.001536861933897
2017-09-12,0.001493321785115
2017-09-13,0.001374342801501
2017-09-14,0.000951642718556
2017-09-15,0.000976881973965
2017-09-16,0.000911378295977
2017-09-17,0.000877181042039
2017-09-18,0.000962636267459
2017-09-19,0.000856763816992
2017-09-20,0.000837515340348
2017-09-21,0.000745225090777
2017-09-22,0.000776104316667
2017-09-23,0.00094050596965
2017-09-24,0.00087728945204
2017-09-25,0.001137301843048
2017-09-26,0.001149872684841
2017-09-27,0.001151561751921
2017-09-28,0.00107680802746
2017-09-29,0.00109559530253
2017-09-30,0.001153588508487
2017-10-01,0.001072539586762
2017-10-02,0.001065589033098
2017-10-03,0.001014635187416
2017-10-04,0.001002200749772
2017-10-05,0.000995925169549
2017-10-06,0.001023110882016
2017-10-07,0.001041357936775
2017-10-08,0.001034874975456
2017-10-09,0.00096121777461
2017-10-10,0.000975524579714
2017-10-11,0.001029163059985
2017-10-12,0.001048950088828
2017-10-13,0.001034670876659
2017-10-14,0.001064414890791
2017-10-15,0.001060538304816
2017-10-16,0.00116024043973
2017-10-17,0.001064202237684
2017-10-18,0.001028934679642
2017-10-19,0.001045106700802
2017-10-20,0.001045291763203
2017-10-21,0.000998668685315
2017-10-22,0.001043944650773
2017-10-23,0.001012482697589
2017-10-24,0.001072021677866
2017-10-25,0.001055830238284
2017-10-26,0.001034822621223
2017-10-27,0.00100280815177
2017-10-28,0.000999095796636
2017-10-29,0.00115982158548
2017-10-30,0.00113574292592
2017-10-31,0.001127644500755
2017-11-01,0.001103147659103
2017-11-02,0.001153355445219
2017-11-03,0.001120547657183
2017-11-04,0.001157177451132
2017-11-05,0.001170919866981
2017-11-06,0.001146639837493
2017-11-07,0.001181904103839
2017-11-08,0.001243742415613
2017-11-09,0.001397731977548
2017-11-10,0.001166725827123
2017-11-11,0.001177213337568
2017-11-12,0.001024777201845
2017-11-13,0.001202119580812
2017-11-14,0.00117478539107
2017-11-15,0.001278562953855
2017-11-16,0.001366868336248
2017-11-17,0.001286051960014
2017-11-18,0.001345263777517
2017-11-19,0.001349032077727
