Time,"BTC / Price, USD"
2017-01-01,997.257357977791
2017-01-02,1017.07788609001
2017-01-03,1032.60905318527
2017-01-04,1134.49644535359
2017-01-05,1000.49812893045
2017-01-06,892.463955639977
2017-01-07,903.453283635301
2017-01-08,912.484997077732
2017-01-09,903.508666803039
2017-01-10,906.498947399182
2017-01-11,788.314655990649
2017-01-12,807.109833547633
2017-01-13,826.746927410871
2017-01-14,820.045157276447
2017-01-15,824.547065166569
2017-01-16,830.838035067212
2017-01-17,906.026828112215
2017-01-18,881.259815371128
2017-01-19,902.263869959088
2017-01-20,895.174516189363
2017-01-21,924.46825949737
2017-01-22,922.467077381648
2017-01-23,919.115744126242
2017-01-24,887.743193804792
2017-01-25,895.690033255406
2017-01-26,916.6674685564
2017-01-27,920.454463471654
2017-01-28,922.774948568089
2017-01-29,915.63202314436
2017-01-30,920.313260783168
2017-01-31,968.499105669199
2017-02-01,987.532590414962
2017-02-02,1007.7043659848
2017-02-03,1015.30203945061
2017-02-04,1033.78597299825
2017-02-05,1014.56787574518
2017-02-06,1023.3174811806
2017-02-07,1053.62445902981
2017-02-08,1052.36764535359
2017-02-09,982.751939450614
2017-02-10,996.650153126827
2017-02-11,1011.37532220923
2017-02-12,1006.29646487434
2017-02-13,999.953184979545
2017-02-14,1012.2134635301
2017-02-15,1013.90384050263
2017-02-16,1036.80686475745
2017-02-17,1058.66992033898
2017-02-18,1060.66880488019
2017-02-19,1058.78640035067
2017-02-20,1088.68842922268
2017-02-21,1128.85529316189
2017-02-22,1129.70179064874
2017-02-23,1188.86178550555
2017-02-24,1185.48889158387
2017-02-25,1151.60473687902
2017-02-26,1181.71086586791
2017-02-27,1194.15245014611
2017-02-28,1188.39994073641
2017-03-01,1228.45965061368
2017-03-02,1262.93146738749
2017-03-03,1289.36319111631
2017-03-04,1268.94066440678
2017-03-05,1276.27368293396
2017-03-06,1282.25465663355
2017-03-07,1234.47646206897
2017-03-08,1152.13938924606
2017-03-09,1193.45552659264
2017-03-10,1098.53014903565
2017-03-11,1176.822921391
2017-03-12,1231.74835663355
2017-03-13,1239.39629631794
2017-03-14,1246.53656487434
2017-03-15,1258.65138147282
2017-03-16,1178.02075037989
2017-03-17,1072.08253816482
2017-03-18,962.569056165985
2017-03-19,1020.22025353594
2017-03-20,1037.7563458796
2017-03-21,1111.81826358854
2017-03-22,1037.30257013442
2017-03-23,1028.17285628288
2017-03-24,935.063496201052
2017-03-25,968.543329281122
2017-03-26,962.95805458796
2017-03-27,1042.91919777908
2017-03-28,1045.16293161894
2017-03-29,1039.68861578025
2017-03-30,1037.98766142607
2017-03-31,1081.74353109293
2017-04-01,1089.52477182934
2017-04-02,1105.56295575687
2017-04-03,1144.6647710111
2017-04-04,1141.92191870251
2017-04-05,1135.81164377557
2017-04-06,1194.59645938048
2017-04-07,1191.73145108124
2017-04-08,1184.41772033898
2017-04-09,1213.63413980129
2017-04-10,1211.64987621274
2017-04-11,1229.78493290473
2017-04-12,1216.11436785506
2017-04-13,1172.5583396844
2017-04-14,1174.33323354763
2017-04-15,1175.56218901227
2017-04-16,1173.6913798948
2017-04-17,1191.90120146113
2017-04-18,1202.13145803624
2017-04-19,1209.56090888369
2017-04-20,1235.80307451783
2017-04-21,1247.33607025132
2017-04-22,1243.55039257744
2017-04-23,1250.00148322618
2017-04-24,1257.23944225599
2017-04-25,1279.86471741672
2017-04-26,1296.48545745178
2017-04-27,1345.8899556692
2017-04-28,1347.98515552309
2017-04-29,1357.71525341905
2017-04-30,1381.9563722969
2017-05-01,1436.9414880187
2017-05-02,1463.81906846873
2017-05-03,1519.40894447691
2017-05-04,1539.8300515488
