Time,"ETH / Price, USD"
2017-06-18,350.534463086499
2017-06-19,357.681361649328
2017-06-20,349.288913500877
2017-06-21,320.277859038574
2017-06-22,320.145963176505
2017-06-23,325.991536277031
2017-06-24,304.768927811221
2017-06-25,276.242345104617
2017-06-26,255.033414298656
2017-06-27,281.08192129398
2017-06-28,317.776258400351
2017-06-29,293.999290413793
2017-06-30,276.846878461718
2017-07-01,261.219362042665
2017-07-02,286.533256667446
2017-07-03,276.381727718293
2017-07-04,269.404834744594
2017-07-05,266.262281550555
2017-07-06,266.656013065459
2017-07-07,240.161421859147
2017-07-08,244.196069263004
2017-07-09,237.960754773232
2017-07-10,203.667605391584
2017-07-11,192.891972717709
2017-07-12,220.375114831385
2017-07-13,205.861691116014
2017-07-14,197.24683492519
2017-07-15,170.574619883109
2017-07-16,155.12095854062
2017-07-17,189.221658703682
2017-07-18,228.78765892519
2017-07-19,191.651705937463
2017-07-20,224.107144172414
2017-07-21,216.214063375804
2017-07-22,231.983774798363
2017-07-23,228.563602995324
2017-07-24,225.714163052016
2017-07-25,204.267246499123
2017-07-26,202.456667746347
2017-07-27,202.88998441204
2017-07-28,191.488124044418
2017-07-29,205.994907945646
2017-07-30,196.771915156049
2017-07-31,200.760819609001
2017-08-01,225.735534699591
2017-08-02,217.584664142607
2017-08-03,224.028898297195
2017-08-04,221.471094210403
2017-08-05,248.939666132671
2017-08-06,266.031145936879
2017-08-07,269.646053845704
2017-08-08,294.522035516072
2017-08-09,296.828835021625
2017-08-10,301.437411189947
2017-08-11,309.864902527177
2017-08-12,309.254121247516
2017-08-13,297.04311033986
2017-08-14,299.899655571596
2017-08-15,286.238491115137
2017-08-16,300.581495599649
2017-08-17,301.525778841613
2017-08-18,292.570930255406
2017-08-19,294.006381612507
2017-08-20,297.946730439509
2017-08-21,320.268020935126
2017-08-22,314.667140353594
2017-08-23,317.911476100818
2017-08-24,324.404678510228
2017-08-25,330.229825942724
2017-08-26,332.432620397428
2017-08-27,345.159394547049
2017-08-28,347.312148939801
2017-08-29,373.270473714202
2017-08-30,385.096362653419
2017-08-31,388.628983109293
2017-09-01,391.600977030976
2017-09-02,349.100817241379
2017-09-03,352.873988895383
2017-09-04,313.259609643483
2017-09-05,321.673799707773
2017-09-06,338.424651081239
2017-09-07,336.414099064874
2017-09-08,310.01521244886
2017-09-09,305.233473699591
2017-09-10,301.328705435418
2017-09-11,298.009521917008
2017-09-12,293.927871127995
2017-09-13,276.957384570427
2017-09-14,225.336907948568
2017-09-15,258.900247808299
2017-09-16,255.184495616599
2017-09-17,259.595284921099
2017-09-18,296.59002980713
2017-09-19,284.68624050263
2017-09-20,284.783950029223
2017-09-21,258.71685534775
2017-09-22,263.592519286967
2017-09-23,285.098802746932
2017-09-24,284.710706604325
2017-09-25,294.606179135009
2017-09-26,288.873323495032
2017-09-27,310.386890707189
2017-09-28,302.473999707773
2017-09-29,291.483834891876
2017-09-30,301.653574810053
2017-10-01,302.921215371128
2017-10-02,296.383131209819
2017-10-03,291.627101987142
2017-10-04,292.153131209819
2017-10-05,295.104265926359
2017-10-06,307.36563383986
2017-10-07,311.539527761543
2017-10-08,308.811207773232
2017-10-09,296.16992226768
2017-10-10,297.805755406195
2017-10-11,302.037225599065
2017-10-12,302.722357977791
2017-10-13,336.118935417884
2017-10-14,339.239905902981
2017-10-15,335.292906779661
2017-10-16,334.387035067212
2017-10-17,315.673910286382
2017-10-18,313.292919637639
2017-10-19,308.361189362946
2017-10-20,304.104843950906
2017-10-21,299.96448918761
2017-10-22,294.862483343074
2017-10-23,285.272274400935
2017-10-24,297.201345119813
